SOC,Temperature(C),Capacity,R_50%,True_SOP(W),SHAP_SOC,SHAP_Temperature(C),SHAP_Capacity,SHAP_R_50%
0.7,10,2.92,13.02,102.1405922,23.159174,-4.048114,3.0254755,6.995699
0.7,10,2.42,22.58,87.615,27.765965,-3.016343,-1.9180177,-6.778491
0.7,10,2.65,17.57,94.888,25.507101,-4.8677163,0.5123025,0.8436975
0.7,10,2.74,16.12,96.66,25.696444,-4.831503,-0.12677851,2.640726
0.7,25,2.86,13.52,105.52,20.6406,3.6705275,2.100136,5.7562594
0.7,25,2.42,22.58,89.562,25.382164,2.8730285,-3.4896626,-9.57335
0.7,25,2.76,15.32,103.93,22.059988,4.1706614,0.09693332,4.19313
0.7,25,2.61,18.56,100.84,23.033373,4.692378,0.650952,-0.44587532
0.7,10,2.86,13.52,101.44,23.319658,-4.058586,2.4538393,6.767798
0.7,10,2.48,21.32,89.562,26.283794,-5.2072783,-0.9104777,-3.5686483
0.7,10,2.78,14.71,99.437,24.379059,-4.311887,-0.052339703,6.450908
0.7,10,2.61,18.56,93.326,25.90433,-5.027543,0.120841525,-0.5609857
0.7,25,2.65,17.57,101.84,22.719036,4.534654,0.9218439,0.7561968
0.7,25,2.71,17.26,102.06,23.516148,4.46422,0.2599878,0.14541245
0.7,10,2.76,15.32,98.164,24.961819,-4.5510163,-0.18609148,4.8734794
0.7,25,2.74,16.12,103.2,22.694437,4.4468627,0.21422532,2.5838757
0.7,10,2.54,21.78,89.19,26.962975,-5.0698094,-0.9605964,-5.0264935
0.7,25,2.54,21.78,97.889,24.42963,4.759801,0.007574617,-4.9927983
0.7,25,2.33,28.63,90.144,24.53149,5.2092986,-4.3049345,-8.322403
0.7,10,2.79,14.02,100.7168118,23.563614,-4.164829,1.877246,6.7243886
0.7,25,2.38,25.61,93.378,24.630213,5.1220913,-1.7691402,-7.1617007
0.7,10,2.36,27.18,82.128,27.331594,-5.5019956,-3.3545158,-9.437138
0.7,25,2.5,24.22,94.75408528,25.33809,5.2310185,-1.0005957,-8.123797
0.7,25,2.36,27.18,91.766,24.458948,5.208633,-3.1022804,-7.80517
0.7,25,2.5,22.73,97.055,24.764347,4.91772,-0.63925993,-5.0567694
0.7,25,2.79,14.02,105.2073706,20.894371,3.7846508,1.7140378,5.7623353
0.7,25,2.85,13.16,105.9768079,20.42537,3.921372,1.9739975,6.9656925
0.7,10,2.42,23.97,85.813,27.709314,-5.206545,-2.0349627,-7.2962427
0.7,25,2.71,15.67,103.69,21.937435,4.1801395,0.45082644,4.0360236
0.7,25,2.65,19.12,100.4,23.785036,4.645177,0.4377502,-2.3447583
0.7,25,2.68,16.52,102.86,22.309948,4.353921,0.75317484,2.386441
0.7,25,2.58,20.28,99.329,23.802216,4.8282666,0.19094113,-2.938582
0.7,10,2.65,19.12,92.416,26.680716,-4.9808693,-0.06185341,-2.480934
0.7,25,2.72,14.84,104.5015778,20.816166,3.943215,0.7935898,5.776137
0.7,25,2.98,13.31,105.9277878,19.785368,3.4282134,2.6503634,6.908822
0.7,25,2.42,23.97,95.092,25.142094,4.906157,-2.1332133,-5.867775
0.7,10,2.58,20.28,90.963,26.640886,-5.1679497,-0.46845537,-3.2715945
0.7,10,2.71,15.67,97.842,24.708809,-4.5334744,0.24246353,4.640986
0.7,10,2.68,16.52,96.395,25.205135,-4.70681,0.60007477,2.556372
0.7,10,2.67,18.24,93.748,26.275013,-4.9257827,-0.09513431,-0.63253677
0.7,25,2.92,13.02,105.9548861,20.547564,3.6534712,2.4954352,6.243768
0.7,10,2.98,13.31,102.305229,22.16449,-3.7891467,3.52967,8.052364
0.7,10,2.71,17.26,94.986,26.34967,-4.820735,0.039130323,0.17903878
0.7,25,2.67,18.24,101.23,23.464739,4.590839,0.24834701,-0.6035542
0.7,10,2.33,28.63,80.463,27.482006,-5.5134397,-4.5577497,-10.040146
0.7,25,2.54,20.9,98.824,23.731724,4.9275155,-0.023086779,-3.0249407
0.7,10,2.54,20.9,90.295,26.485386,-5.2620616,-0.8887776,-3.4186003
0.7,10,2.72,14.84,99.40645223,23.529713,-4.305259,0.68205416,6.754006
0.6,25,2.67,18.24,98.737,20.826294,4.668326,0.31169668,-0.65788794
0.6,25,2.68,16.52,100.08,19.653856,4.4282513,0.71007824,2.4206023
0.6,10,2.42,22.58,84.653,24.684559,-3.2359605,-2.0158157,-6.8860087
0.6,10,2.92,13.02,99.46194115,20.304031,-4.114317,3.0562081,7.002133
0.6,10,2.76,15.32,95.408,22.19526,-4.5998955,-0.15731733,4.9691744
0.6,10,2.48,21.32,86.634,23.484682,-5.327353,-0.8482386,-3.5448961
0.6,10,2.61,18.56,90.279,23.150764,-5.1077113,0.23827383,-0.54480535
0.6,10,2.78,14.71,96.712,21.527117,-4.379805,-0.023565462,6.461219
0.6,10,2.65,17.57,91.882,22.828968,-4.9414644,0.6483749,0.91492915
0.6,25,2.74,16.12,100.76,20.020647,4.513405,0.21889514,2.5566893
0.6,25,2.71,17.26,99.574,20.84414,4.5406933,0.23077118,0.14571254
0.6,10,2.74,16.12,93.864,22.891594,-4.8960066,-0.09800449,2.6981318
0.6,10,2.86,13.52,98.808,20.467527,-4.1253815,2.4805331,6.779998
0.6,25,2.82,14.02,102.73,18.313929,3.9540434,1.2534807,5.6402955
0.6,25,2.91,13.04,103.642953,16.735752,3.5388834,2.8172493,7.152558
0.6,10,2.82,14.02,97.666,20.905201,-4.354931,1.2200212,6.654238
0.6,10,2.5,24.22,81.77449765,24.969627,-5.7117705,-1.3277467,-9.368019
0.6,10,2.38,25.61,80.956,24.176655,-5.6281266,-2.0085876,-8.9010725
0.6,10,2.91,13.04,99.59292517,19.074318,-3.9011052,3.5949128,8.431679
0.6,10,2.5,22.73,85.256,24.452953,-5.4497538,-0.9934599,-5.5518365
0.6,25,2.78,14.71,102.07,18.836533,4.000024,0.05492331,5.393288
0.6,25,2.58,19.76,96.656,21.094828,4.908747,0.28685305,-2.391617
0.6,10,2.58,19.76,88.101,23.783932,-5.2477036,-0.38898608,-2.6558688
0.6,25,2.48,21.32,95.095,20.968948,5.020838,-0.016260346,-3.1946456
0.6,25,2.86,13.52,103.18,17.924904,3.7401547,2.1004238,5.6915483
0.6,25,2.42,22.58,86.634,22.760208,3.1128764,-3.5920198,-9.456592
