colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,val_rmse,val_r2,best_iteration,best_n_estimators,n_leaves,n_splits,n_nodes
1.0,0.1,0.1,4,3,1,0.8,5.334387548219449,0.975861448585421,332,333,5429,5046,10475
0.75,1.0,0.03,4,5,5,1.0,5.334424254008273,0.9758611163907271,671,672,4739,4017,8756
0.75,1.0,0.1,4,5,20,0.8,5.335445097174134,0.9758518766411127,370,371,3910,3489,7399
0.75,1.0,0.05,3,5,10,0.8,5.336440347059948,0.975842866836637,991,992,6948,5948,12896
0.75,1.0,0.1,3,3,1,0.8,5.337581581445732,0.9758325333944398,347,348,2928,2530,5458
0.75,0.3,0.1,4,3,1,1.0,5.341909635065415,0.9757933244391682,185,186,1787,1551,3338
0.75,0.1,0.1,4,3,5,1.0,5.3429639743191,0.9757837680937234,186,187,2339,2102,4441
0.75,0.1,0.05,3,5,10,0.8,5.3446109589099935,0.9757688363411848,991,992,7266,6266,13532
0.75,1.0,0.03,4,3,1,1.0,5.345124244346843,0.9757641818955177,308,309,4473,4114,8587
0.75,1.0,0.1,3,3,5,0.8,5.346729359260151,0.9757496239124928,347,348,2872,2474,5346
0.75,0.1,0.03,4,8,5,1.0,5.34755596207891,0.9757421251305678,681,682,6764,6032,12796
0.75,0.3,0.05,3,5,10,0.8,5.356171653131427,0.9756638962273696,991,992,7221,6221,13442
0.75,0.1,0.1,3,3,1,0.8,5.3597030375043,0.9756317955133607,342,343,3012,2619,5631
0.75,0.1,0.05,4,3,1,1.0,5.361341698517224,0.9756168926985592,282,283,3828,3495,7323
1.0,0.0,0.1,4,3,20,0.8,5.362014216796595,0.9756107751575536,544,545,8224,7629,15853
0.75,0.1,0.05,4,8,1,1.0,5.362734411264236,0.9756042230807762,293,294,3746,3402,7148
0.75,0.3,0.05,3,5,5,0.8,5.363229988285101,0.9755997139836831,737,738,5784,4996,10780
