SOC,PulseLength(s),Temperature(C),Voltage(V),True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V)
0.85,30.004,-8.2665,3.3204,31.402,2.362159609172959,-8.035033728433772,-9.848399922659155,8.389388502914226
0.85,30.003,-8.1695,3.3251,30.391,2.8069360588595735,-8.013194358707405,-9.86837510620011,9.224608991775895
0.85,30.003,11.608,3.3373,69.401,8.956225197464228,-7.548440328766592,12.797442040098831,16.654222501531475
0.85,30.002,-18.951,3.302,17.163,0.2929800164466724,-6.199047505236231,-19.231529356169048,6.339875633944757
0.85,30.002,-18.124,3.3074,17.469,0.5949319535540417,-6.365727447420358,-19.368475811302197,7.040605577002279
0.85,19.153,2.1157,3.3346,55.36,6.109999217154691,-2.8576258370513097,2.354611297091469,13.829958191171754
0.849991667,2.003,-17.924,3.3006,26.205,-2.206685119813774,7.164168850053102,-21.56601576879504,4.823343150062719
0.849983333,10.003,-18.719,3.3076,21.588,0.20235408331267535,-1.2183995101647451,-20.409395061315735,6.263626679804875
0.849983333,10.003,-18.102,3.3114,21.936,0.3549254104681313,-1.6464411167008803,-20.455360372805735,6.652453712731367
0.849983333,10.004,-18.782,3.3029,21.038,0.6092208898533136,-1.512638500444591,-20.284564802282258,5.846886414949549
0.849983333,2.003,-17.931,3.2925,25.444,-2.0173856703867203,7.879056853912771,-21.489518199778395,3.735626504380489
0.849983333,10.003,-18.754,3.2963,20.087,-0.008682284345850349,-1.5363073874264956,-20.250096086489503,3.7054760625155176
0.849983333,2.002,-8.4331,3.3113,46.317,0.9241980196302757,10.02565978146158,-9.431786160591292,7.993905246080831
0.849983333,2.003,-9.0878,3.3202,47.319,0.8713212419836782,9.794429276396986,-9.473707460212754,8.327438770405715
0.849966667,10.003,1.5067,3.327,54.556,4.890458331039408,-1.8364425638830288,2.4095384582306725,8.963570437828311
0.84995,2.003,-17.918,3.308,27.049,-1.6676050453470088,7.220036963797174,-21.706320215245942,5.76354156118934
0.849941667,2.003,-19.249,3.311,27.314,-1.0405379690940026,7.848754684275482,-22.20646542135859,6.772569554076763
0.849941667,2.002,-18.066,3.3046,26.692,-1.967868958436884,7.227614357117563,-21.760507079114905,5.199799578116508
0.849941667,2.002,-8.4092,3.3229,47.878,1.2792093578306958,9.950482571041212,-9.351005281257676,8.903805373499635
0.849916667,24.469,2.1012,3.3404,51.571,5.570629467745311,-4.4937472935765985,1.5987354808673262,13.398523045275361
0.849916667,30.002,1.6681,3.3413,49.64,5.5858304924611,-8.468396510230377,1.2399343887297436,15.022086838108953
0.849916667,30.002,1.562,3.3415,48.302,5.718060760134831,-8.11967521184124,1.349895896180533,14.94216347242007
0.849916667,19.86,1.266,3.3359,53.442,5.295951368847163,-2.66671243081335,1.9061360905133187,13.566985442370642
0.8001,10.002,25.931,3.3332,77.415,4.700747489960631,0.9571555166598409,22.747835302109596,12.135329814131838
0.800091667,2.002,0.4615,3.3182,66.22,0.662041278736433,10.452857318874448,3.6996958130889106,7.624145596259041
0.800091667,2.004,10.279,3.3267,74.733,4.197997337355045,10.695913489058148,13.688957692821278,9.878006194153567
0.800083333,2.002,26.151,3.3302,81.419,3.1357895373238716,9.649828304848633,21.843101023255148,10.23892409635242
0.800083333,30.002,25.893,3.3374,75.481,6.848378753867,-7.254427805244923,22.23735475229798,15.713431165883085
0.800083333,2.002,40.191,3.3332,84.616,2.878788671527291,8.116842425805517,25.471424136337593,10.485941316438838
0.800083333,30.001,-8.2082,3.3141,30.124,2.3578323193418327,-7.984647033251822,-9.838890477910173,8.177162562492304
0.800083333,30.003,-8.1122,3.3175,29.57,2.124890048961388,-8.215943671665155,-9.715390965093393,8.157557609474752
0.800083333,30.002,40.9,3.3379,79.908,6.061127798201633,-6.610665060416795,27.805425611387474,15.552891442585969
0.800083333,10.004,11.19,3.3284,67.85,6.161743231111904,-2.7276375377806836,13.107277089004638,9.016595600843429
0.800075,10.002,25.385,3.3355,76.878,6.035505162052577,-0.41975937015609815,21.458067161248763,13.804749364729505
0.800058333,10.003,40.87,3.3355,82.053,4.498746838741353,-0.42447639943799004,27.760364706300898,13.360466519659385
0.800008333,10.004,-19.119,3.3024,21.045,0.308833399573341,-1.56986153524369,-20.25158274781774,5.47245945625822
0.800008333,10.003,-19.014,3.299,20.595,-0.1796199667546898,-1.0836283626034855,-20.216667578954947,5.220901707563317
0.800008333,10.004,-17.963,3.2947,19.893,0.5158278755936772,-2.029936079578474,-19.94200121852686,3.479505439217901
0.8,10.003,1.2044,3.3278,53.064,4.977517176998081,-1.2456902040028945,2.2615042608685325,10.395381053151796
0.8,30.003,11.124,3.3371,68.16,8.2709200409404,-7.970904062779154,12.314687073265668,16.35549781898153
0.8,10.002,1.4498,3.3226,51.186,2.646686460232595,-0.8575223683798686,2.714245451792376,8.793646403705933
