SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_AvgCurrent_20s,fold
0.900161561,2.002,26.139,4.0021,1.000121905,104.59,15.946451,2.6670344,10.112049,4.752975,1.3207175,3
0.900128796,10.002,1.1354,4.0157,1.000082381,99.224,15.746538,0.12640776,5.5140853,4.273952,1.433387,1
0.900128796,10.002,1.1354,4.0157,1.000082381,99.224,17.52963,-0.1315748,5.6965423,5.148186,0.44541407,3
0.900128796,10.002,1.1354,4.0157,1.000082381,99.224,19.331175,0.35832292,6.077663,6.535296,1.6366228,4
0.900128796,10.002,1.1354,4.0157,1.000082381,99.224,17.772915,-0.32183075,8.198965,4.520159,1.3746762,5
0.900128796,10.002,1.1354,4.0157,1.000082381,99.224,15.131126,0.17065473,7.3480415,5.096248,0.8933049,2
0.900000097,10.002,-17.063,3.9487,0.0,40.848,11.936286,-0.031015366,-37.06592,3.9358068,-3.434567,5
0.900000097,10.002,-17.063,3.9487,0.0,40.848,12.795821,-0.20923547,-43.72289,4.9267015,-2.6904871,3
0.900000097,10.002,-17.063,3.9487,0.0,40.848,10.711462,-0.19903535,-42.401375,4.8783627,-2.7182648,1
0.900000097,10.002,-17.063,3.9487,0.0,40.848,13.5965185,0.1870139,-37.903038,6.4662247,-3.2988462,4
0.900000097,10.002,-17.063,3.9487,0.0,40.848,10.7586355,0.1668642,-42.29509,5.517499,-2.7197309,2
0.900000088,10.002,42.91,4.039,0.571469048,106.24,14.939486,0.10472047,15.884024,4.7056274,0.4357107,3
0.900000088,10.002,42.91,4.039,0.571469048,106.24,13.048092,0.5474647,15.883588,3.6143284,1.9963605,2
0.900000088,10.002,42.91,4.039,0.571469048,106.24,14.460372,-0.013267126,16.945606,3.459896,-0.24535073,5
0.900000088,10.002,42.91,4.039,0.571469048,106.24,15.494271,0.38470826,14.45766,5.352406,2.0295177,4
0.900000088,10.002,42.91,4.039,0.571469048,106.24,13.861409,-0.17717093,14.273993,4.385555,1.4621319,1
0.900000086,10.001,2.8199,4.0117,0.0,85.245,15.335589,-0.57543546,-4.624302,5.691833,-3.6738276,1
0.900000086,10.001,2.8199,4.0117,0.0,85.245,15.255259,0.31137785,-3.1690617,6.352141,-3.7779064,2
0.900000086,10.001,2.8199,4.0117,0.0,85.245,19.184204,-0.052122224,-3.195247,7.2656913,-2.8359153,3
0.900000086,10.001,2.8199,4.0117,0.0,85.245,18.22207,-0.6077541,-3.219855,6.2050424,-4.060021,4
0.900000086,10.001,2.8199,4.0117,0.0,85.245,17.463955,0.40432623,-1.5969393,4.470593,-3.8579557,5
0.900000026,30.003,27.726,4.071,0.0,100.45,13.960586,-0.4003471,10.479411,5.918786,-1.7886441,1
0.900000026,30.003,27.726,4.071,0.0,100.45,15.901194,-1.1366601,10.531612,8.797126,-1.7425494,4
0.900000026,30.003,27.726,4.071,0.0,100.45,13.402113,-1.4764619,12.907577,6.537166,-2.1877427,2
0.900000026,30.003,27.726,4.071,0.0,100.45,15.702094,-0.6270168,10.870883,6.737679,-1.8716893,3
0.900000026,30.003,27.726,4.071,0.0,100.45,16.187975,-0.4838868,13.65728,5.7558737,-1.9843537,5
