SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,test,SOP(W)
0.199733333,30.002,0.94626,3.4272,0.206896552,1,12.166
0.1496,30.004,0.78444,3.3689,0.206893103,1,9.3597
0.149766667,30.004,0.56772,3.3797,0.206903448,1,4.0812
0.149833333,30.002,0.45727,3.4021,0.200006667,1,9.8073
0.1498,30.004,0.51499,3.4143,0.19356129,1,1.4174
0.1496,30.002,1.1778,3.4095,0.206906897,1,9.4866
0.099633333,30.002,0.82813,3.1941,0.198937931,1,0.66276
1.000006667,10.003,25.53,4.1413,0.214278571,1,110.97
0.950003333,10.003,25.935,4.0857,0.214282143,1,110.33
0.899996667,10.003,25.265,4.0732,0.214278571,1,109.49
0.84999,10.003,25.524,4.0434,0.214282143,1,108.44
0.8,10.002,25.591,3.9875,0.206889655,1,107.11
1.000006667,10.002,25.692,4.1977,0.097475152,1,110.87
0.94998,10.002,25.196,4.0975,0.214282143,1,110.53
0.899973333,10.001,25.724,4.0779,0.214275,1,109.86
0.84997,10.002,25.24,4.0632,0.214278571,1,109.03
0.8,10.002,26.076,4.0153,0.206889655,1,107.68
0.75,10.003,25.428,3.9582,0.206910345,1,106.47
0.7,10.001,25.37,3.9172,0.206889655,1,105.44
0.649966667,10.002,25.685,3.8762,0.206906897,1,104.24
0.6,10.003,25.225,3.8149,0.214282143,1,102.71
0.55,10.004,25.799,3.7652,0.206893103,1,101.03
0.5,10.003,25.336,3.7148,0.206886207,1,99.435
0.45,10.002,25.733,3.6699,0.206889655,1,98.118
0.4,10.004,25.178,3.6345,0.206896552,1,96.978
0.35,10.003,25.883,3.6032,0.206889655,1,95.685
0.3,10.003,26.144,3.5701,0.214292857,1,84.495
0.25,10.003,25.257,3.5254,0.206886207,1,71.364
0.2,10.004,26.191,3.4671,0.206889655,1,54.217
0.149966667,10.002,26.216,3.4079,0.206896552,1,32.827
0.1,10.002,25.345,3.3518,0.214278571,1,14.024
0.099966667,10.004,25.278,3.3586,0.206896552,1,17.86
0.049966667,10.003,25.364,3.0912,0.206889655,1,2.3479
1.000006667,2.001,40.352,4.1846,0.107146429,1,117.15
1.00001,2.002,40.533,4.1851,0.500366667,1,117.2
0.99999,2.004,40.381,4.1865,0.05484129,1,115.28
0.949986667,2.003,39.894,4.0961,0.214282143,1,113.93
0.899976667,2.002,40.129,4.0772,0.214285714,1,113.58
0.849973333,2.003,40.048,4.06,0.214282143,1,112.88
0.799963333,2.002,40.692,4.0103,0.206896552,1,111.38
0.749966667,2.003,40.311,3.9536,0.206889655,1,109.85
0.699996667,2.002,39.649,3.9132,0.2069,1,108.77
0.649996667,2.002,39.62,3.8771,0.206896552,1,107.71
0.6,2.003,40.695,3.817,0.206896552,1,106.24
0.55,2.002,40.312,3.764,0.206910345,1,104.68
